1001|Shimmer Top|18.50|5000|1000|2000
1002|Velvet Bag|22.00|4995|1000|2000
1003|Fancy Belt|16.75|4988|1000|2000
1004|Glossy Lip|12.25|4996|1000|2500
1005|Luxe Socks|8.50|5000|2000|2000
1006|Sport Cap|19.00|5000|1500|1000
1007|Pearl Ring|27.50|4000|2000|1000
1008|Leather Key|15.00|5000|2000|2000
1009|Denim Skirt|28.75|5000|1000|1000
1010|Jade Earrs|42.00|5000|1500|2000
1011|Striped Top|14.50|5000|1000|2000
1012|Satin Pouch|9.75|5000|1000|2000
1013|Glitter Pen|6.00|3000|2000|2000
1014|Woven Hat|12.25|5000|500|2000
1015|Silk Scarf|29.50|4300|300|1000
1016|Chain Belt|11.00|3500|750|2000
1017|Faux Fur Bag|36.00|2050|125|2000
1018|Embossed Pen|7.75|3000|2000|2000
1019|Beaded Neck|24.50|4000|2000|2000
1020|Knit Socks|8.75|5000|3000|1000
1021|Metallic Cap|18.00|4000|400|1500
1022|Glossy Ring|15.50|4000|500|2000
1023|Tassel Key|10.00|1995|1500|2500
1024|Chic Skirt|26.75|3030|150|2000
1025|Stud Earrs|33.00|2540|125|1500
1026|Colorful Top|19.50|1200|750|1500
1027|Wool Scarf|28.75|3600|300|1000
1028|Buckle Belt|12.25|1500|750|2500
1029|Canvas Bag|21.00|2450|500|2000
1030|Feather Pen|8.50|3000|2000|2000
1031|Crystal Neck|39.50|4400|200|1000
1032|Printed Sock|6.75|2300|3000|1000
1033|Knit Cap|16.00|4800|400|1500
1034|Geometric Ring|18.50|1000|500|2000
1035|Leather Keychain|7.00|2000|1500|2500
1036|Satin Skirt|33.75|4300|2000|1500
1037|Pearl Earrs|39.00|4250|4125|1500
1038|Fur Pouch|19.50|4000|2000|2000
1039|Engraved Pen|9.75|3000|2000|2000
1040|Floral Top|17.50|3200|750|1500
1041|Silk Tie|22.75|5298|300|1000
1042|Embellished Bag|48.00|2550|125|1500
1043|Leather Brace|44.50|4030|200|1000
1044|Stylish Cap|15.50|1000|500|2000
1045|Chunky Ring|16.00|4500|750|2500
1046|Velvet Skirt|27.75|3400|150|2000
1047|Crystal Pen|14.50|834|1500|2500
1048|Faux Fur Scarf|32.00|4600|2000|1000
1049|Beaded Belt|18.75|1000|500|2000
1050|Metallic Bag|42.50|2350|125|1500
1051|cola cake|129.00|3300|200|1000
1052|100 plus|8.00|300|400|2000
1053|Leather Shoes|89.99|1450|75|2000
1054|Blue Pen|0.99|5400|250|1000
1055|Silver Watch|199.99|1400|50|2000
1056|Red T-shirt|24.99|3040|150|1500
1057|Black Sunglasses|49.99|4200|100|2000
1058|Smartphone Stand|19.99|5400|200|1000
1059|Wireless Earbuds|129.99|3100|50|2000
1060|Laptop Bag|39.99|3300|150|1000
1061|Green Tea|4.99|1000|500|2000
1062|Water Bottle|9.99|4500|250|1000
1063|Fitness Tracker|79.99|4150|1000|1000
1064|Black Shoes|99.99|2050|100|1000
1065|Baseball Cap|14.99|4040|200|2000
1066|Whiteboard Marker|1.99|1000|500|2000
1067|Notebook|4.99|5050|250|1000
1068|Stapler|9.99|3050|150|1000
1069|Desk Lamp|29.99|4150|1000|1000
1070|Travel Pillow|19.99|2300|1000|1000
1071|Office Chair|199.99|1030|2500|1000
1072|Running Shoes|149.99|1030|50|2000
1073|Fitness Mat|49.99|2400|1050|1000
1074|Bicycle Lock|14.99|3300|2150|1000
1075|Portable Charger|49.99|1450|2000|1000
1076|Umbrella|9.99|5050|250|1000
1077|Soccer Ball|19.99|4300|200|1000
1078|White T-shirt|14.99|5300|250|1000
1079|Blackhead Remover|29.99|1250|750|1000
1080|Air Purifier|99.99|1005|600|2000
1081|Smart Thermostat|199.99|3250|25|1000
1082|Coffee Mug|9.99|5004|250|1000
1083|Luggage Scale|19.99|2400|100|1000
1084|Electric Toothbrush|49.99|1250|750|1000
1085|Screwdriver Set|14.99|3004|500|2000
1086|Resistance Bands|19.99|4040|500|1500
1087|Headphones|79.99|4532|500|2000
1088|Rain Jacket|39.99|2040|1000|2000
1089|Plant Pot|9.99|5000|250|1000
1090|Coffee Maker|99.99|1400|500|2000
1091|Flashlight|4.99|3440|500|2000
1092|Backpack|29.99|3003|150|3000
1093|Baseball Glove|49.99|3200|1000|2000
1094|Snowboard|199.99|5043|2500|1000
1095|Skateboard|99.99|1004|500|2000
1096|Hiking Boots|129.99|1250|750|2000
1097|Bluetooth Speaker|49.99|5200|100|2000
1098|Cordless Drill|79.99|1500|500|2000
1099|Smart Scale|39.99|1550|750|2000
1100|Yoga Mat|29.99|3000|1000|800
